ingredient,cfp,wfp,mapping_type,mapped_item
cornflour,"0,87","1889,5",ingredient,MAIZE FLOUR
noodles,"1,21",1508,ingredient,PASTA*
rice wine vinegar,,,no_match,NO_MATCH
chopped walnut,"2,06",11264,ingredient,WALNUT
cod,"3,08",2782,ingredient,COD
fillet,"5,19","2313,5",typology,FISH
tapioca,"0,27",2818,ingredient,TAPIOCA OF CASSAVA
romaine lettuce,"0,41",237,ingredient,LETTUCE
sun-dried tomato,"0,81","2636,5",typology,DRIED FRUIT
sesame,"0,88","3087,5",typology,SEEDS
white chocolate,"3,16",20717,ingredient,MILK CHOCOLATE
grated parmesan cheese,"9,59",5060,ingredient,CHEESE GRATED
pork sausage,"5,99",6177,ingredient,PORK SAUSAGES
capsicum,"0,65",379,ingredient,PEPPER
Rice Krispies,"0,57",2230,ingredient,RICE GROATS
cake,"2,14",1640,ingredient,CAKES AND CROISSANT**
clam,"20,25",1856,ingredient,LOBSTER
prune,"2,15","748,0",typology,FRUIT
ground cumin,"0,84","8280,0",typology,SPICIES
chopped pecan,,,no_match,NO_MATCH
tea bag,,,no_match,NO_MATCH
peanuts,"0,83",2782,ingredient,PEANUT
tomato puree,"1,03",713,ingredient,TOMATO PUREE
pancetta,,,no_match,NO_MATCH
nectar,"2,15","748,0",typology,FRUIT
pita bread,"0,86",667,ingredient,BREAD
puff pastry,,,no_match,NO_MATCH
tomato juice,"2,86",267,ingredient,TOMATO JUICE
crushed red pepper flake,"0,84","8280,0",typology,SPICIES
kale,"0,34",292,ingredient,SPINACH
Bourbon,"0,57",1554,ingredient,RYE
orange marmalade,"0,30",654,ingredient,ORANGE
chutney,,,no_match,NO_MATCH
salami,,,no_match,NO_MATCH
muffin,,,no_match,NO_MATCH
caster sugar,"0,78","1294,5",typology,SUGAR
rice flour,"0,87",2429,ingredient,RICE FLOUR & MEAL
whiskey,"0,57",1554,ingredient,RYE
cranberries,"0,64",276,ingredient,CRANBERRY
black olive,"0,64",3015,ingredient,OLIVES
egg substitute,"3,20",2562,ingredient,EGGS*
cantaloupe,"0,32","1506,5",ingredient,ROCKMELON
lemon pepper,"0,84","8280,0",typology,SPICIES
ground cloves,"0,84","8280,0",typology,SPICIES
greens,"2,26","555,5",ingredient,GREEN BEANS (F)
semisweet chocolate,"4,30",,ingredient,CHOCOLATE
mascarpone,"5,45",5253,ingredient,MASCARPONE
tequila,,,no_match,NO_MATCH
gorgonzola,"8,20",5253,ingredient,MOZZARELLA
dried oregano,,,no_match,NO_MATCH
pudding mix,,,no_match,NO_MATCH
dried cranberry,"0,64",276,ingredient,CRANBERRY
mirin,,,no_match,NO_MATCH
white chocolate chip,"3,16","20717,0",typology,CHOCOLATE
coriander seed,"0,84",8280,ingredient,CORIANDER
cardamom pod,"0,84",34319,ingredient,CARDAMOM
parsnip,"0,25",195,ingredient,TURNIP
anise,"0,84",8280,ingredient,ANISE
rolled oat,"2,64",2416,ingredient,OAT FLAKES
sugar substitute,,,no_match,NO_MATCH
gluten,"0,57",4189,ingredient,WHEAT GLUTEN
sirloin,,,no_match,NO_MATCH
crushed red pepper flakes,"0,65",379,ingredient,PEPPER
hoisin sauce,"1,46",613,ingredient,SOY SAUCE
black peppercorn,"0,84",7611,ingredient,PEPPER (PIPER SPP.)
Crisco,,,no_match,NO_MATCH
chuck,,,no_match,NO_MATCH
snow pea,"0,52",595,ingredient,PEA (fresh)
salad oil,"1,79",4301,ingredient,RAPESEED OIL
roma tomato,"0,45",41,ingredient,TOMATO
curry paste,"0,84","8280,0",typology,SPICIES
Brussels sprout,"0,33",285,ingredient,BRUSSEL SPROUT
bacon bit,"5,99",6116,ingredient,BACON
vinaigrette,"3,27",14415,ingredient,OLIVE OIL
rose water,,,no_match,NO_MATCH
veal,,,no_match,NO_MATCH
