ingredient;cfp;wfp;mapping_type;mapped_item;data_origin;notes
salad dressing mix;1.460;572.000;typology;DRESSING;;Self-mapped
template3;;;NOT_FOOD;NOT_FOOD;;
mixed dried fruit;0.810;2636.500;typology;DRIED FRUIT;;
crabapple;0.775;336.000;typology;VEGETABLES;;
canned pumpkin puree;0.240;336.000;ingredient;PUMPKIN;;
key lime;0.340;642.000;ingredient;LIME;;
fresh blueberry;0.780;845.000;ingredient;BLUEBERRY;;
French onion soup;0.220;290.000;ingredient;ONION;;
leaf lettuce;0.410;237.000;ingredient;LETTUCE;;
peach preserves;1.890;;ingredient;Jam;https://livelca.com/products/jam_3c8262e5-0d2e-4973-a039-ffcb35172cb9;Jam used as proxy for every  kind of jam, or preserved
frozen lemonade;0.340;642.000;ingredient;LEMON;;
coconut water;2.860;1019.000;typology;FRUIT JUICE;;
pot roast;25.750;15139.000;ingredient;BEEF BONE FREE MEAT*;;Self-mapped
frozen mixed vegetable;0.810;339.000;ingredient;MIXED VEGETABLES (F);;
cinnamon syrup;0.930;;ingredient;Syrup;https://livelca.com/products/syrup_6929f55c-b391-4961-b016-730f8e7ec77c;Syrup used as proxy for every syrup, this could understimate value of specific ultraprocessed syrups
strawberry Jell-O gelatin dessert;1.740;;ingredient;Gélatine, sèche;https://agribalyse.ademe.fr/app/aliments?search=G%C3%A9latine;Gélatine, sèche used as proxy for every jelly
jalapeno juice;0.840;8280.000;typology;SPICIES;;Self-mapped
raspberry liqueur;3.390;;ingredient;Liquer;https://livelca.com/products/liquer_57a03a36-b224-4cfc-89a1-8dcaae696e75;Liquer used as proxy for every liquer
gooseberry;0.640;526.000;ingredient;GOOSEBERRY;;
cool whip;2.420;;ingredient;Crème de lait, 15 à 20% MG, légère, semi-épaisse, UHT, UHT;https://agribalyse.ademe.fr/app/aliments/19430;Crème de lait, 15 à 20% MG, légère, semi-épaisse, UHT, UHT used as proxy for every whipped topping (panna montata)
coconut syrup;0.930;;ingredient;Syrup;https://livelca.com/products/syrup_6929f55c-b391-4961-b016-730f8e7ec77c;Syrup used as proxy for every syrup, this could understimate value of specific ultraprocessed syrups
szechuan peppercorn;0.840;8280.000;typology;SPICIES;;
pink peppercorn;0.840;7611.000;ingredient;PEPPER (PIPER SPP.);;
flower;;;NO_DATA;NO_DATA;;
taro;0.270;606.000;ingredient;TARO;;
alcohol;2.040;;ingredient;Vodka;https://livelca.com/products/vodka_ebf808cc-3bd7-4200-8c1a-a70f7a9b700d;Vodka used as proxy for every kind of vodka or generic alcohol
strip;5.190;2313.500;TOO_GENERIC;TOO_GENERIC;;
coconut flakes;1.070;1971.000;ingredient;COCONUT (I);;
Braggs liquid aminos;5.330;;ingredient;Amino acids;https://apps.carboncloud.com/climatehub/product-reports/id/3462679691924;
citric acid;;;NO_MATCH;NO_MATCH;;
hazelnut syrup;0.930;;ingredient;Syrup;https://livelca.com/products/syrup_6929f55c-b391-4961-b016-730f8e7ec77c;Syrup used as proxy for every syrup, this could understimate value of specific ultraprocessed syrups
herring;1.240;2313.500;ingredient;HERRING;;
segment;2.150;748.000;TOO_GENERIC;TOO_GENERIC;;
black sesame seed;0.880;9371.000;ingredient;SESAM SEED;;
Tia Maria;3.390;;ingredient;Liquer;https://livelca.com/products/liquer_57a03a36-b224-4cfc-89a1-8dcaae696e75;
whole allspice;0.840;8280.000;typology;SPICIES;;
head;0.540;362.000;ingredient;VEGETABLES;;Vegetable heads
plum jam;1.890;;ingredient;Jam;https://livelca.com/products/jam_3c8262e5-0d2e-4973-a039-ffcb35172cb9;Jam used as proxy for every  kind of jam, or preserved
bean sprouts;0.520;516.000;ingredient;BEAN (fresh);;
panko breadcrumbs;0.860;901.800;typology;BREAD;;
lager beer;0.690;155.000;ingredient;BEER*;;
Bulgar wheat;0.570;1618.000;typology;GRAINS;;
masa harina;0.870;1889.500;typology;GRAIN FLOUR;;Self-mapped
Thai red chili pepper;0.840;8280.000;typology;SPICIES;;
pulp;2.860;1019.000;typology;FRUIT JUICE;;
pork sparerib;7.950;6177.000;ingredient;PORK HAM;;
surimi;2.120;2313.500;typology;FISH PROCESSED;;
tender;3.680;3960.000;ingredient;CHICKEN BONE FREE MEAT;;Self-mapped
seitan;2.270;1724.500;typology;VEGETAL PROTEINS;;
Dijon;1.760;;ingredient;Mustard;https://livelca.com/products/mustard_7eb333ac-568e-4de9-ae04-0a4feb790282;Self-mapped
chicken bouillon powder;36.800;;ingredient;BOUILLON CUBES, CHICKEN;https://apps.carboncloud.com/climatehub/product-reports/032251100482/USA;
French dressing;1.460;572.000;typology;DRESSING;;
bread mix;0.860;901.800;typology;BREAD;;
chickpea flour;1.320;2523.000;ingredient;SOYBEAN FLOUR;;
ras el hanout;0.840;8280.000;typology;SPICIES;;
bulb;0.220;290.000;ingredient;ONION;;
caesar salad dressing;1.460;572.000;typology;DRESSING;;Self-mapped
red cabbage;0.250;272.000;ingredient;RADISH;;
mochiko;0.870;2429.000;ingredient;RICE FLOUR & MEAL;;Self-mapped
black mustard seed;0.880;2809.000;ingredient;MUSTARD SEED;;
dog;5.990;6177.000;ingredient;SAUSAGES;;Self-mapped
chayote;;;NO_MATCH;NO_MATCH;;
broccolini;0.570;336.000;ingredient;BROCCOLI;;
chopped fresh cilantro;0.840;8280.000;ingredient;CORIANDER;;
Hungarian paprika;0.840;8280.000;typology;SPICIES;;
cooking sherry;0.660;524.000;typology;WINE;;
buffalo;78.800;;ingredient;BUFFALO BONE FREE MEAT*;;
grape leaf;;;NO_MATCH;NO_MATCH;;
chopped rhubarb;0.775;336.000;typology;VEGETABLES;;
kasha;;;NO_MATCH;NO_MATCH;;
wheat gluten;0.570;4189.000;ingredient;WHEAT GLUTEN;;
brazil nut;1.110;11264.000;typology;NUTS;;
coriander root;0.840;8280.000;ingredient;CORIANDER;;
small red onion;0.220;290.000;ingredient;ONION;;
pinto beans;0.430;5053.000;ingredient;BEAN;;
chopped tomatoes;1.470;713.000;ingredient;TOMATO CHOPPED;;
pineapple ring;0.550;255.000;ingredient;PINEAPPLE (I);;
sesame seed oil;2.110;6792.000;typology;OIL;;
spice powder;0.840;8280.000;typology;SPICIES;;
broccoli coleslaw mix;0.570;336.000;ingredient;BROCCOLI;;
choy;0.775;336.000;typology;VEGETABLES;;Self-mapped
V8 vegetable juice;2.860;267.000;ingredient;TOMATO JUICE;;
baking;1.140;;ingredient;DOUBLE ACTING BAKING POWDER;https://apps.carboncloud.com/climatehub/product-reports/039978003928/USA;
cardamom powder;0.840;34319.000;ingredient;CARDAMOM;;
Splenda brown sugar blend;0.780;1294.500;typology;SUGAR;;
Coke;0.425;;ingredient;Soft Drink;https://livelca.com/products/soft-drink_a0892893-831f-4dd5-b4bf-a8977543b775;Self-mapped
toasted sesame seeds;0.880;3087.500;typology;SEEDS;;
bran flake;2.640;2196.500;typology;BREAKFAST CEREALS;;
Italian parsley;0.775;336.000;typology;VEGETABLES;;
ball;;;TOO_GENERIC;TOO_GENERIC;;
yukon gold potato;0.240;555.000;ingredient;POTATO;;
chopped dates;0.810;2636.500;typology;DRIED FRUIT;;
patties;25.750;15139.000;ingredient;BEEF BONE FREE MEAT*;;
wonton;;;NO_MATCH;NO_MATCH;;
new potato;0.240;555.000;ingredient;POTATO;;
fresh sage;0.840;8280.000;typology;SPICIES;;
cavatelli;1.210;1508.000;ingredient;PASTA*;;
maple;3.060;;ingredient;Maple syrup;https://livelca.com/products/maple-syrup_4db53f50-ad8d-4315-8c83-e17bf7b28de6;Self-mapped
rice vermicelli;2.190;1597.000;ingredient;RICE*;;Self-mapped
cloves garlic;0.250;589.000;ingredient;GARLIC;;
broad bean;0.520;2018.000;ingredient;FABA BEAN;;
rice stick;2.190;1597.000;ingredient;RICE*;;
frozen corn;0.810;700.000;ingredient;SWEET CORN (F);;
sweet pepper;0.650;379.000;ingredient;PEPPER;;
fresh garlic;0.250;589.000;ingredient;GARLIC;;
instant espresso powder;0.550;960.000;ingredient;COFFEE SOLUBLE POWDER (L);;
poppy;0.880;2188.000;ingredient;POPPY SEED;;
almond liqueur;3.390;;ingredient;Liquer;https://livelca.com/products/liquer_57a03a36-b224-4cfc-89a1-8dcaae696e75;Liquer used as proxy for every liquer
crumbled feta cheese;8.930;5253.000;ingredient;CHEESE;;
steak sauce;1.460;534.000;ingredient;KETCHUP;;Self-mapped
suet;;;NO_MATCH;NO_MATCH;;
vegemite;;;NO_MATCH;NO_MATCH;;
jalapeno jelly;1.740;;ingredient;Gélatine, sèche;https://agribalyse.ademe.fr/app/aliments?search=G%C3%A9latine;Gélatine, sèche used as proxy for every jelly
non-fat powdered milk;15.800;;ingredient;Whole milk powder, 95% DM;https://apps.carboncloud.com/climatehub/product-reports/id/170300964422;
Splenda granular;0.780;1294.500;typology;SUGAR;;Self-mapped
salted butter;8.480;5659.000;ingredient;BUTTER*;;
diced apple;0.810;6847.000;ingredient;APPLES;;
candied orange peel;0.300;654.000;ingredient;ORANGE;;
grated chocolate;4.300;;ingredient;CHOCOLATE;;
kefalotiri;8.930;5253.000;ingredient;CHEESE;;Self-mapped
smoked sausage;5.990;6177.000;ingredient;SAUSAGES;;
brownie;3.160;20717.000;typology;CHOCOLATE;;
old fashioned oat;0.670;1788.000;ingredient;OAT;;
madeira wine;0.660;524.000;ingredient;WINE*;;
ahi tuna;3.680;2313.500;ingredient;TUNA;;
Chardonnay;0.660;524.000;ingredient;WINE WHITE;;
thread;0.840;731000.000;ingredient;SAFFRON;;
minced parsley;0.775;336.000;typology;VEGETABLES;;
